batsman,city,strike_rate,played_well
KK Cooper,Pune,more than 120,yes
KK Nair,Pune,more than 120,yes
KL Rahul,Pune,more than 120,yes
KM Jadhav,Pune,more than 120,yes
KMDN Kulasekara,Pune,more than 120,yes
KP Appanna,Pune,less than 120,no
KP Pietersen,Pune,more than 120,yes
KS Williamson,Pune,more than 120,yes
Kuldeep Yadav,Pune,less than 120,no
KV Sharma,Pune,less than 120,no
KW Richardson,Pune,less than 120,no
L Ablish,Pune,less than 120,no
L Balaji,Pune,less than 120,no
L Ronchi,Pune,less than 120,no
LA Carseldine,Pune,less than 120,no
LA Pomersbach,Pune,more than 120,yes
LH Ferguson,Pune,less than 120,no
LJ Wright,Pune,more than 120,yes
LMP Simmons,Pune,more than 120,yes
LPC Silva,Pune,more than 120,yes
LR Shukla,Pune,less than 120,no
LRPL Taylor,Pune,more than 120,yes
M Ashwin,Pune,less than 120,no
M de Lange,Mumbai,less than 120,no
M Kaif,Mumbai,less than 120,no
M Kartik,Mumbai,less than 120,no
M Klinger,Mumbai,less than 120,no
M Manhas,Mumbai,less than 120,no
M Morkel,Mumbai,more than 120,yes
M Muralitharan,Mumbai,less than 120,no
M Ntini,Mumbai,less than 120,no
M Rawat,Mumbai,less than 120,no
M Vijay,Mumbai,more than 120,yes
M Vohra,Mumbai,more than 120,yes
MA Agarwal,Mumbai,less than 120,no
MA Khote,Mumbai,less than 120,no
MA Starc,Mumbai,less than 120,no
Mandeep Singh,Mumbai,less than 120,no
Mashrafe Mortaza,Mumbai,less than 120,no
MC Henriques,Mumbai,more than 120,yes
MC Juneja,Mumbai,less than 120,no
MD Mishra,Mumbai,less than 120,no
MDKJ Perera,Mumbai,less than 120,no
MEK Hussey,Mumbai,less than 120,no
MF Maharoof,Mumbai,more than 120,yes
MG Johnson,Mumbai,less than 120,no
Misbah-ul-Haq,Mumbai,more than 120,yes
MJ Clarke,Mumbai,less than 120,no
MJ Guptill,Mumbai,more than 120,yes
MJ Lumb,Mumbai,more than 120,yes
MJ McClenaghan,Mumbai,more than 120,yes
MK Pandey,Mumbai,less than 120,no
MK Tiwary,Mumbai,less than 120,no
ML Hayden,Mumbai,more than 120,yes
MM Patel,Mumbai,less than 120,no
MM Sharma,Mumbai,less than 120,no
MN Samuels,Mumbai,less than 120,no
MN van Wyk,Mumbai,more than 120,yes
Mohammad Ashraful,Mumbai,less than 120,no
Mohammad Asif,Mumbai,less than 120,no
Mohammad Hafeez,Mumbai,less than 120,no
Mohammad Nabi,Mumbai,less than 120,no
Mohammed Shami,Mumbai,less than 120,no
MP Stoinis,Mumbai,less than 120,no
MR Marsh,Mumbai,less than 120,no
MS Bisla,Mumbai,less than 120,no
MS Dhoni,Mumbai,more than 120,yes
MS Gony,Mumbai,more than 120,yes
MS Wade,Mumbai,less than 120,no
MV Boucher,Mumbai,more than 120,yes
N Rana,Mumbai,more than 120,yes
N Saini,Mumbai,less than 120,no
ND Doshi,Mumbai,less than 120,no
Niraj Patel,Mumbai,less than 120,no
NJ Maddinson,Mumbai,less than 120,no
NJ Rimmington,Mumbai,less than 120,no
NL McCullum,Mumbai,less than 120,no
NLTC Perera,Mumbai,more than 120,yes
NM Coulter-Nile,Mumbai,less than 120,no
NM Coulter-Nile,Mumbai,more than 120,yes
NS Naik,Mumbai,less than 120,no
NV Ojha,Mumbai,less than 120,no
OA Shah,Mumbai,more than 120,yes
P Awana,Mumbai,less than 120,no
P Dogra,Mumbai,less than 120,no
P Kumar,Mumbai,less than 120,no
P Negi,Mumbai,more than 120,yes
P Parameswaran,Mumbai,less than 120,no
P Sahu,Mumbai,more than 120,yes
PA Patel,Mumbai,less than 120,no
PA Reddy,Mumbai,less than 120,no
PA Reddy,Mumbai,more than 120,yes
Pankaj Singh,Mumbai,less than 120,no
Parvez Rasool,Mumbai,less than 120,no
PC Valthaty,Mumbai,less than 120,no
PD Collingwood,Mumbai,more than 120,yes
PJ Cummins,Mumbai,more than 120,yes
PJ Sangwan,Mumbai,less than 120,no
PM Sarvesh Kumar,Mumbai,less than 120,no
PP Chawla,Mumbai,less than 120,no
PP Ojha,Mumbai,less than 120,no
PR Shah,Mumbai,less than 120,no
PSP Handscomb,Mumbai,less than 120,no
PV Tambe,Mumbai,less than 120,no
Q de Kock,Mumbai,less than 120,no
Q de Kock,Mumbai,more than 120,yes
R Ashwin,Mumbai,less than 120,no
R Bhatia,Mumbai,less than 120,no
R Bishnoi,Mumbai,less than 120,no
R Dhawan,Mumbai,less than 120,no
R Dravid,Mumbai,less than 120,no
R McLaren,Mumbai,less than 120,no
R Ninan,Mumbai,less than 120,no
R Rampaul,Mumbai,less than 120,no
R Sathish,Mumbai,less than 120,no
R Sharma,Mumbai,less than 120,no
R Shukla,Mumbai,less than 120,no
R Tewatia,Mumbai,more than 120,yes
R Vinay Kumar,Mumbai,less than 120,no
RA Jadeja,Mumbai,less than 120,no
RA Tripathi,Mumbai,more than 120,yes
Rashid Khan,Mumbai,more than 120,yes
RD Chahar,Mumbai,more than 120,yes
RE Levi,Mumbai,less than 120,no
RE van der Merwe,Mumbai,less than 120,no
RG More,Mumbai,less than 120,no
RG Sharma,Mumbai,less than 120,no
RG Sharma,Mumbai,more than 120,yes
RJ Harris,Mumbai,less than 120,no
RJ Peterson,Mumbai,less than 120,no
RJ Quiney,Mumbai,less than 120,no
RN ten Doeschate,Mumbai,more than 120,yes
RP Singh,Mumbai,less than 120,no
RR Bhatkal,Mumbai,less than 120,no
RR Pant,Mumbai,more than 120,yes
RR Powar,Mumbai,less than 120,no
RR Raje,Mumbai,less than 120,no
RR Rossouw,Mumbai,less than 120,no
RR Sarwan,Mumbai,less than 120,no
RS Bopara,Mumbai,less than 120,no
RS Gavaskar,Mumbai,less than 120,no
RS Sodhi,Mumbai,more than 120,yes
RT Ponting,Mumbai,less than 120,no
RV Gomez,Mumbai,less than 120,no
RV Uthappa,Mumbai,more than 120,yes
S Anirudha,Mumbai,less than 120,no
S Aravind,Mumbai,less than 120,no
S Aravind,Mumbai,more than 120,yes
S Badree,Mumbai,less than 120,no
S Badrinath,Mumbai,less than 120,no
S Chanderpaul,Mumbai,less than 120,no
S Dhawan,Mumbai,less than 120,no
S Gopal,Mumbai,less than 120,no
S Kaul,Mumbai,less than 120,no
S Kaushik,Mumbai,less than 120,no
S Ladda,Mumbai,less than 120,no
S Nadeem,Mumbai,less than 120,no
S Narwal,Mumbai,more than 120,yes
S Rana,Mumbai,less than 120,no
S Randiv,Mumbai,less than 120,no
S Sohal,Mumbai,less than 120,no
S Sreesanth,Mumbai,less than 120,no
S Sriram,Mumbai,less than 120,no
S Tyagi,Mumbai,less than 120,no
S Vidyut,Mumbai,more than 120,yes
SA Abbott,Mumbai,less than 120,no
SA Asnodkar,Mumbai,more than 120,yes
SA Yadav,Mumbai,more than 120,yes
Sachin Baby,Mumbai,less than 120,no
Sachin Baby,Mumbai,more than 120,yes
Salman Butt,Mumbai,less than 120,no
Sandeep Sharma,Mumbai,less than 120,no
SB Bangar,Mumbai,less than 120,no
SB Jakati,Mumbai,less than 120,no
SB Joshi,Mumbai,less than 120,no
SB Styris,Mumbai,less than 120,no
SB Wagh,Mumbai,less than 120,no
SC Ganguly,Mumbai,less than 120,no
SD Chitnis,Mumbai,less than 120,no
SE Bond,Mumbai,less than 120,no
SE Marsh,Mumbai,more than 120,yes
Shahid Afridi,Kolkata,more than 120,yes
Shakib Al Hasan,Kolkata,more than 120,yes
Shivam Sharma,Kolkata,more than 120,yes
Shoaib Ahmed,Kolkata,less than 120,no
Shoaib Akhtar,Kolkata,less than 120,no
Shoaib Malik,Kolkata,less than 120,no
SJ Srivastava,Kolkata,less than 120,no
SJ Srivastava,Kolkata,more than 120,yes
SK Raina,Kolkata,more than 120,yes
SK Trivedi,Kolkata,less than 120,no
SK Warne,Kolkata,less than 120,no
SL Malinga,Kolkata,less than 120,no
SM Harwood,Kolkata,less than 120,no
SM Katich,Kolkata,more than 120,yes
SM Pollock,Kolkata,more than 120,yes
SMSM Senanayake,Kolkata,less than 120,no
SN Khan,Kolkata,more than 120,yes
SN Thakur,Kolkata,less than 120,no
Sohail Tanvir,Kolkata,less than 120,no
SP Fleming,Kolkata,less than 120,no
SP Goswami,Kolkata,less than 120,no
SP Jackson,Kolkata,more than 120,yes
SP Narine,Kolkata,more than 120,yes
SPD Smith,Kolkata,less than 120,no
SPD Smith,Kolkata,more than 120,yes
SR Tendulkar,Delhi,less than 120,no
SR Watson,Delhi,more than 120,yes
SS Iyer,Delhi,more than 120,yes
SS Shaikh,Delhi,less than 120,no
SS Tiwary,Delhi,less than 120,no
ST Jayasuriya,Delhi,more than 120,yes
STR Binny,Delhi,more than 120,yes
Sunny Gupta,Delhi,less than 120,no
Sunny Singh,Delhi,more than 120,yes
SV Samson,Delhi,more than 120,yes
SW Billings,Delhi,more than 120,yes
SW Tait,Delhi,less than 120,no
Swapnil Singh,Delhi,less than 120,no
T Henderson,Delhi,less than 120,no
T Kohli,Delhi,less than 120,no
T Taibu,Kolkata,less than 120,no
T Thushara,Kolkata,less than 120,no
TA Boult,Kolkata,less than 120,no
TD Paine,Kolkata,less than 120,no
TG Southee,Kolkata,more than 120,yes
TL Suman,Kolkata,less than 120,no
TM Dilshan,Kolkata,less than 120,no
TM Head,Kolkata,more than 120,yes
TM Srivastava,Kolkata,less than 120,no
TR Birt,Kolkata,more than 120,yes
TS Mills,Kolkata,less than 120,no
U Kaul,Kolkata,less than 120,no
UA Birla,Kolkata,less than 120,no
UBT Chand,Kolkata,less than 120,no
Umar Gul,Kolkata,more than 120,yes
UT Khawaja,Kolkata,more than 120,yes
UT Yadav,Kolkata,less than 120,no
UT Yadav,Kolkata,more than 120,yes
V Kohli,Kolkata,more than 120,yes
V Pratap Singh,Kolkata,less than 120,no
V Sehwag,Kolkata,more than 120,yes
V Shankar,Kolkata,more than 120,yes
VH Zol,Kolkata,less than 120,no
Vishnu Vinod,Kolkata,less than 120,no
VR Aaron,Kolkata,less than 120,no
VRV Singh,Kolkata,more than 120,yes
VS Malik,Kolkata,less than 120,no
VS Malik,Kolkata,more than 120,yes
VS Yeligati,Kolkata,less than 120,no
VS Yeligati,Kolkata,more than 120,yes
VVS Laxman,Kolkata,less than 120,no
VY Mahesh,Kolkata,less than 120,no
W Jaffer,Kolkata,less than 120,no
WA Mota,Kolkata,less than 120,no
Washington Sundar,Kolkata,less than 120,no
WD Parnell,Kolkata,less than 120,no
WP Saha,Kolkata,less than 120,no
WP Saha,Kolkata,more than 120,yes
WPUJC Vaas,Kolkata,less than 120,no
X Thalaivan Sargunam,Kolkata,less than 120,no
Y Gnaneswara Rao,Kolkata,less than 120,no
Y Nagar,Kolkata,less than 120,no
Y Venugopal Rao,Kolkata,less than 120,no
YA Abdulla,Kolkata,less than 120,no
Yashpal Singh,Kolkata,less than 120,no
YK Pathan,Kolkata,more than 120,yes
Younis Khan,Bangalore,less than 120,no
YS Chahal,Bangalore,less than 120,no
Yuvraj Singh,Bangalore,more than 120,yes
YV Takawale,Bangalore,less than 120,no
Z Khan,Bangalore,less than 120,no
